"","supplysector","subsector","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate"
"1","elect_td_bld","rooftop_pv","rooftop_pv",1975,"capital",1083,0.1
"2","elect_td_bld","rooftop_pv","rooftop_pv",1990,"capital",1083,0.1
"3","elect_td_bld","rooftop_pv","rooftop_pv",2005,"capital",1083,0.1
"4","elect_td_bld","rooftop_pv","rooftop_pv",2010,"capital",1083,0.1
"5","elect_td_bld","rooftop_pv","rooftop_pv",2015,"capital",1083,0.1
"6","elect_td_bld","rooftop_pv","rooftop_pv",2020,"capital",763,0.1
"7","elect_td_bld","rooftop_pv","rooftop_pv",2025,"capital",575,0.1
"8","elect_td_bld","rooftop_pv","rooftop_pv",2030,"capital",464,0.1
"9","elect_td_bld","rooftop_pv","rooftop_pv",2035,"capital",398,0.1
"10","elect_td_bld","rooftop_pv","rooftop_pv",2040,"capital",359,0.1
"11","elect_td_bld","rooftop_pv","rooftop_pv",2045,"capital",336,0.1
"12","elect_td_bld","rooftop_pv","rooftop_pv",2050,"capital",323,0.1
"13","elect_td_bld","rooftop_pv","rooftop_pv",2055,"capital",315,0.1
"14","elect_td_bld","rooftop_pv","rooftop_pv",2060,"capital",310,0.1
"15","elect_td_bld","rooftop_pv","rooftop_pv",2065,"capital",307,0.1
"16","elect_td_bld","rooftop_pv","rooftop_pv",2070,"capital",306,0.1
"17","elect_td_bld","rooftop_pv","rooftop_pv",2075,"capital",305,0.1
"18","elect_td_bld","rooftop_pv","rooftop_pv",2080,"capital",304,0.1
"19","elect_td_bld","rooftop_pv","rooftop_pv",2085,"capital",304,0.1
"20","elect_td_bld","rooftop_pv","rooftop_pv",2090,"capital",303,0.1
"21","elect_td_bld","rooftop_pv","rooftop_pv",2095,"capital",303,0.1
"22","elect_td_bld","rooftop_pv","rooftop_pv",2100,"capital",303,0.1
"23","intermediate generation","solar","PV_int",1975,"capital",667,0.13
"24","intermediate generation","solar","PV_int",1990,"capital",667,0.13
"25","intermediate generation","solar","PV_int",2005,"capital",667,0.13
"26","intermediate generation","solar","PV_int",2010,"capital",667,0.13
"27","intermediate generation","solar","PV_int",2015,"capital",667,0.13
"28","intermediate generation","solar","PV_int",2020,"capital",478,0.13
"29","intermediate generation","solar","PV_int",2025,"capital",367,0.13
"30","intermediate generation","solar","PV_int",2030,"capital",301,0.13
"31","intermediate generation","solar","PV_int",2035,"capital",263,0.13
"32","intermediate generation","solar","PV_int",2040,"capital",240,0.13
"33","intermediate generation","solar","PV_int",2045,"capital",226,0.13
"34","intermediate generation","solar","PV_int",2050,"capital",218,0.13
"35","intermediate generation","solar","PV_int",2055,"capital",213,0.13
"36","intermediate generation","solar","PV_int",2060,"capital",211,0.13
"37","intermediate generation","solar","PV_int",2065,"capital",209,0.13
"38","intermediate generation","solar","PV_int",2070,"capital",208,0.13
"39","intermediate generation","solar","PV_int",2075,"capital",207,0.13
"40","intermediate generation","solar","PV_int",2080,"capital",207,0.13
"41","intermediate generation","solar","PV_int",2085,"capital",207,0.13
"42","intermediate generation","solar","PV_int",2090,"capital",207,0.13
"43","intermediate generation","solar","PV_int",2095,"capital",207,0.13
"44","intermediate generation","solar","PV_int",2100,"capital",207,0.13
"45","intermediate generation","solar","CSP_int",1975,"capital",1362,0.13
"46","intermediate generation","solar","CSP_int",1990,"capital",1362,0.13
"47","intermediate generation","solar","CSP_int",2005,"capital",1362,0.13
"48","intermediate generation","solar","CSP_int",2010,"capital",1362,0.13
"49","intermediate generation","solar","CSP_int",2015,"capital",1362,0.13
"50","intermediate generation","solar","CSP_int",2020,"capital",1070,0.13
"51","intermediate generation","solar","CSP_int",2025,"capital",877,0.13
"52","intermediate generation","solar","CSP_int",2030,"capital",750,0.13
"53","intermediate generation","solar","CSP_int",2035,"capital",666,0.13
"54","intermediate generation","solar","CSP_int",2040,"capital",611,0.13
"55","intermediate generation","solar","CSP_int",2045,"capital",574,0.13
"56","intermediate generation","solar","CSP_int",2050,"capital",550,0.13
"57","intermediate generation","solar","CSP_int",2055,"capital",535,0.13
"58","intermediate generation","solar","CSP_int",2060,"capital",524,0.13
"59","intermediate generation","solar","CSP_int",2065,"capital",517,0.13
"60","intermediate generation","solar","CSP_int",2070,"capital",513,0.13
"61","intermediate generation","solar","CSP_int",2075,"capital",510,0.13
"62","intermediate generation","solar","CSP_int",2080,"capital",508,0.13
"63","intermediate generation","solar","CSP_int",2085,"capital",507,0.13
"64","intermediate generation","solar","CSP_int",2090,"capital",506,0.13
"65","intermediate generation","solar","CSP_int",2095,"capital",505,0.13
"66","intermediate generation","solar","CSP_int",2100,"capital",505,0.13
"67","subpeak generation","solar","PV_subpeak",1975,"capital",667,0.13
"68","subpeak generation","solar","PV_subpeak",1990,"capital",667,0.13
"69","subpeak generation","solar","PV_subpeak",2005,"capital",667,0.13
"70","subpeak generation","solar","PV_subpeak",2010,"capital",667,0.13
"71","subpeak generation","solar","PV_subpeak",2015,"capital",667,0.13
"72","subpeak generation","solar","PV_subpeak",2020,"capital",478,0.13
"73","subpeak generation","solar","PV_subpeak",2025,"capital",367,0.13
"74","subpeak generation","solar","PV_subpeak",2030,"capital",301,0.13
"75","subpeak generation","solar","PV_subpeak",2035,"capital",263,0.13
"76","subpeak generation","solar","PV_subpeak",2040,"capital",240,0.13
